seller_id_values,seller_city,seller_state,total_products,total_orders,Revenue_2016,Revenue_2017,Revenue_2018,total_revenue
S00367,sa~o paulo,SP,28,28,0,16396.07,16396.07,32792.14
S00368,sa~o paulo,SP,1,1,0,0,53.47,53.47
S00383,curitiba,PR,12,12,0,791.29,0,791.29
S00408,sa~o paulo,SP,1,1,0,204.76,0,204.76
S00413,maringa,PR,4,4,0,0,140.43,140.43
S00418,mogi mirim,SP,9,9,0,0,1125.61,1125.61
S00420,sao pedro,SP,23,23,0,0,4211.07,4211.07
S00426,jundiai,SP,3,3,0,3616.51,3616.51,7233.02
S00429,Brasilia,DF,4,4,0,575.07,0,575.07
S00430,rio de janeiro,RJ,3,3,0,0,386.99,386.99
S00436,curitiba,PR,2,2,0,124.33,124.33,248.66
S00439,cianorte,PR,1,1,0,0,71.45,71.45
S00441,São Bernardo do Campo,SP,5,5,0,0,907.55,907.55
S00444,igaracu do tiete,SP,6,6,0,347.76,347.76,695.52
S00447,brusque,SC,4,4,0,301.32,301.32,602.64
S00449,São Bernardo do Campo,SP,2,2,0,0,115.11,115.11
S00452,guarulhos,SP,3,3,0,0,127.36,127.36
S00458,apucarana,PR,36,36,0,8699.1,8699.1,17398.2
S00463,sa~o paulo,SP,19,19,0,9359.33,9359.33,18718.66
S00465,sa~o paulo,SP,28,28,0,1629.16,1629.16,3258.32
S00471,Belo Horizonte,MG,33,33,0,0,3371.41,3371.41
S00472,itajai,SC,1,1,0,0,576.31,576.31
S00474,sa~o paulo,SP,8,8,0,4466.31,0,4466.31
S00477,caxias do sul,RS,1,1,0,0,1038.9,1038.9
S00482,sa~o paulo,SP,6,6,0,896.93,896.93,1793.86
S00484,sao jose do rio preto,SP,4,4,0,569.26,569.26,1138.52
S00487,curitiba,PR,2,2,0,0,149.61,149.61
S00488,curitiba,PR,8,8,0,0,976.73,976.73
S00491,juiz de fora,MG,4,4,0,0,558.92,558.92
S00492,Balneário Camboriú,SC,5,5,0,514.16,0,514.16
S00494,sa~o paulo,SP,2,2,0,0,3063.98,3063.98
S00497,formiga,MG,53,53,0,18571.11,18571.11,37142.22
S00501,maringa,PR,3,3,0,192.04,0,192.04
S00502,sa~o paulo,SP,52,52,0,5506.38,5506.38,11012.76
S00503,Belo Horizonte,MG,164,164,0,18766.78,18766.78,37533.56
S00511,sa~o paulo,SP,52,52,0,22090.82,22090.82,44181.64
S00513,sa~o paulo,SP,4,4,0,144.75,0,144.75
S00516,sa~o paulo,SP,1,1,0,107.9,0,107.9
S00520,Belo Horizonte,MG,1,1,0,0,57.51,57.51
S00525,castro pires,MG,1,1,0,0,359.91,359.91
S00528,mogi das cruzes,SP,126,126,0,6942.73,6942.73,13885.46
S00555,campinas,SP,203,203,0,0,44189.96,44189.96
S00558,sao jose dos campos,SP,3,3,0,78.7,0,78.7
S00562,sao jose,SC,1,1,0,147.35,0,147.35
S00563,sa~o paulo,SP,11,11,0,0,422.31,422.31
S00564,afonso claudio,ES,5,5,377.17,377.17,0,754.34
S00567,barueri,SP,2,2,0,171.85,0,171.85
S00569,volta redonda,RJ,5,5,0,761.29,761.29,1522.58
S00570,joinville,SC,10,10,0,6874.14,0,6874.14
S00575,parai,RS,22,22,0,0,4919.44,4919.44
S00578,sa~o paulo,SP,17,17,0,0,1234.73,1234.73
S00580,guarulhos,SP,9,9,0,0,796.92,796.92
S00585,São Bernardo do Campo,SP,6,6,0,0,313.68,313.68
S00588,cachoeiro de itapemirim,ES,5,5,0,0,427.13,427.13
S00590,sao jose do rio preto,SP,2,2,0,0,84.89,84.89
S00595,catanduva,SP,1,1,0,0,545.51,545.51
S00598,sa~o paulo,SP,5,5,0,0,304.87,304.87
S00608,porto alegre,RS,43,43,0,8642.18,8642.18,17284.36
S00618,penapolis,SP,78,78,0,8229.88999999999,8229.88999999999,16459.78
S00621,sa~o paulo,SP,1,1,0,0,169.39,169.39
S00623,campinas,SP,3,3,0,246.6,0,246.6
S00624,cascavael,PR,1,1,0,37.09,0,37.09
S00629,congonhas,MG,40,40,0,14199.6,14199.6,28399.2
S00633,canoas,RS,4,4,0,0,299.89,299.89
S00634,ribeirao preto,SP,6,6,0,573.34,573.34,1146.68
S00639,sao caetano do sul,SP,2,2,345.2,345.2,0,690.4
S00641,sao caetano do sul,SP,6,6,0,0,860.33,860.33
S00645,campinas,SP,2,2,0,171.38,0,171.38
S00647,dracena,SP,233,233,0,9162.21000000002,9162.21000000002,18324.42
S00656,mucambo,CE,9,9,0,652.9,652.9,1305.8
S00660,sa~o paulo,SP,6,6,0,611.05,0,611.05
S00668,campinas,SP,2,2,0,0,163.2,163.2
S00672,rio de janeiro,RJ,2,2,0,0,88.56,88.56
S00675,sa~o paulo,SP,12,12,0,782.1,782.1,1564.2
S00676,santo andre,SP,5,5,0,0,8622.37,8622.37
S00677,rolante,RS,8,8,0,516.2,0,516.2
S00682,sa~o paulo,SP,23,23,0,1803.04,1803.04,3606.08
S00686,uniao da vitoria,PR,1,1,0,0,77.38,77.38
S00692,campinas,SP,1,1,0,217.71,0,217.71
S00695,limeira,SP,1,1,0,0,19.29,19.29
S00696,sao jose do rio preto,SP,30,30,0,6868.62,6868.62,13737.24
S00697,Belo Horizonte,MG,6,6,0,0,419.07,419.07
S00700,ibitinga,SP,26,26,0,3758.12,3758.12,7516.24
S00702,maringa,PR,48,48,0,7863.5,7863.5,15727
S00708,mandirituba,PR,15,15,0,0,4005.32,4005.32
S00718,joinville,SC,9,9,0,527.57,527.57,1055.14
S00723,ibitinga,SP,3,3,0,0,750.53,750.53
S00727,rio de janeiro,RJ,23,23,0,0,1159.66,1159.66
S00733,sa~o paulo,SP,43,43,0,0,4008.78,4008.78
S00737,sa~o paulo,SP,2,2,0,334.43,334.43,668.86
S00746,barbacena,MG,1,1,0,0,192.94,192.94
S00750,sa~o paulo,SP,40,40,0,4726.57,4726.57,9453.14
S00752,joinville,SC,1,1,0,158.45,0,158.45
S00755,londrina,PR,7,7,0,0,702.06,702.06
S00758,caxias do sul,RS,3,3,0,165.19,0,165.19
S00764,rio de janeiro,RJ,1,1,0,86.74,0,86.74
S00768,Belo Horizonte,MG,7,7,0,423.46,423.46,846.92
S00769,juiz de fora,MG,8,8,0,378.36,378.36,756.72
S00770,caieiras,SP,2,2,0,481.5,0,481.5
S00775,recife,PE,12,12,0,0,23823.99,23823.99
S00776,francisco beltrao,PR,2,2,0,0,157,157
S00780,Brasilia,DF,4,4,0,505.4,0,505.4
S00782,sa~o paulo,SP,1,1,0,0,40.38,40.38
S00785,santo andre,SP,201,201,0,18901.54,18901.54,37803.08
S00495,porto ferreira,SP,55,55,0,5355.61,5355.61,10711.22
S00500,sao caetano do sul,SP,1,1,0,0,190.74,190.74
S00505,porto alegre,RS,2,2,0,0,123.87,123.87
S00510,sa~o paulo,SP,6,6,0,0,363.28,363.28
S00515,Belo Horizonte,MG,6,6,0,1450.52,0,1450.52
S00518,londrina,PR,7,7,0,0,427.56,427.56
S00521,santa maria,RS,1,1,0,0,68.35,68.35
S00522,barueri,SP,8,8,0,590.44,590.44,1180.88
S00523,Belo Horizonte,MG,3,3,0,0,930.17,930.17
