product_id_values,avg_review,main_categories,total_quantity_sold,Revenue_2016,Revenue_2017,Revenue_2018,product_lifecycle,sellers_inolved,transaction_value,total_customers_bought
P04286,4,"Sports, Toys & Leisure",3,0,1199.9,0,only one year,3,3666.76,3
P18368,3,"Sports, Toys & Leisure",3,0,1199.9,1199.9,last two years,3,3707.17,3
P07393,2,"Construction tools ,arts & Others",3,0,1250,1250,last two years,3,3873.56,3
P22502,4,Electronics & Technology,3,0,0,1260,only one year,3,3944.15,3
P14538,4,Electronics & Technology,3,0,0,1449,only one year,3,4445.05,3
P26176,2,"Sports, Toys & Leisure",3,0,1643,1643,last two years,3,5031.86,3
P00929,4,Electronics & Technology,4,0,0,13.87,only one year,4,100.25,4
P25957,4,Home & Furniture,4,0,0,18.9,only one year,4,105.8,4
P02958,3,Electronics & Technology,4,0,15.99,15.99,last two years,4,106.59,4
P30569,4,Home & Furniture,4,0,10.95,10.95,last two years,4,106.99,4
P21127,3,Electronics & Technology,4,0,8.87,8.87,last two years,4,107.91,4
P29960,4,Beauty & Personal Care,4,0,0,15,only one year,4,111.16,4
P11135,5,"Construction tools ,arts & Others",4,0,17.5,17.5,last two years,4,112.41,4
P00959,4,"Sports, Toys & Leisure",4,0,17,17,last two years,4,113.6,4
